,Sheetname,Date,Procedure,Test,Jar,Floc,Floc_Dosage (ppm),Coag,Coag_Dosage (ppm),Coagulant:Flocculant,Turbs,RANK,MAX,MIN,RANGE,Comment,Trub % decrease
18,Jan 2022(D),2022-01-22,standard,Jan 2022(D)_3,5,7767,2.0,2537A,5.0,5 ppm:2537A   2 ppm:7767,303.0,2,999.0,245.0,754.0,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
19,Jan 2022(D),2022-01-22,standard,Jan 2022(D)_3,6,7767,2.5,2537A,5.0,5 ppm:2537A   2.5 ppm:7767,245.0,1,999.0,245.0,754.0,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
20,Jan 2022(D),2022-01-23,standard,Jan 2022(D)_4,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,999.0,6,999.0,96.7,902.3,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
21,Jan 2022(D),2022-01-23,standard,Jan 2022(D)_4,2,7767,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:7767,430.0,5,999.0,96.7,902.3,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
22,Jan 2022(D),2022-01-23,standard,Jan 2022(D)_4,3,7767,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7767,242.0,4,999.0,96.7,902.3,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
23,Jan 2022(D),2022-01-23,standard,Jan 2022(D)_4,4,7767,1.5,2537A,20.0,20 ppm:2537A   1.5 ppm:7767,146.0,3,999.0,96.7,902.3,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
24,Jan 2022(D),2022-01-23,standard,Jan 2022(D)_4,5,7767,2.0,2537A,20.0,20 ppm:2537A   2 ppm:7767,130.0,2,999.0,96.7,902.3,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
25,Jan 2022(D),2022-01-23,standard,Jan 2022(D)_4,6,7767,2.5,2537A,20.0,20 ppm:2537A   2.5 ppm:7767,96.7,1,999.0,96.7,902.3,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
26,Jan 2022(D),2022-01-24,standard,Jan 2022(D)_5,1,7767,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7767,170.0,2,464.0,122.0,342.0,7767 is clearly showing the best particle formation.  7878 shows the worst particle size and settling rate.,
27,Jan 2022(D),2022-01-24,standard,Jan 2022(D)_5,2,7878,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7878,280.0,3,464.0,122.0,342.0,7767 is clearly showing the best particle formation.  7878 shows the worst particle size and settling rate.,
28,Jan 2022(D),2022-01-24,standard,Jan 2022(D)_5,3,8181,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8181,122.0,1,464.0,122.0,342.0,7767 is clearly showing the best particle formation.  7878 shows the worst particle size and settling rate.,
29,Jan 2022(D),2022-01-24,standard,Jan 2022(D)_5,4,7767,1.0,8105,20.0,20 ppm:8105   1 ppm:7767,356.0,4,464.0,122.0,342.0,7767 is clearly showing the best particle formation.  7878 shows the worst particle size and settling rate.,
30,Jan 2022(D),2022-01-24,standard,Jan 2022(D)_5,5,7878,1.0,8105,20.0,20 ppm:8105   1 ppm:7878,464.0,6,464.0,122.0,342.0,7767 is clearly showing the best particle formation.  7878 shows the worst particle size and settling rate.,
31,Jan 2022(D),2022-01-24,standard,Jan 2022(D)_5,6,8181,1.0,8105,20.0,20 ppm:8105   1 ppm:8181,386.0,5,464.0,122.0,342.0,7767 is clearly showing the best particle formation.  7878 shows the worst particle size and settling rate.,
32,Jan 2022(D),2022-01-25,standard,Jan 2022(D)_6,1,7767,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7767,119.0,5,208.0,28.4,179.6,some difference between the coags but all seemed to have very similar performance with particle size & settling,
33,Jan 2022(D),2022-01-25,standard,Jan 2022(D)_6,2,7767,1.0,2490,20.0,20 ppm:2490   1 ppm:7767,37.7,2,208.0,28.4,179.6,some difference between the coags but all seemed to have very similar performance with particle size & settling,
34,Jan 2022(D),2022-01-25,standard,Jan 2022(D)_6,3,7767,1.0,2495,20.0,20 ppm:2495   1 ppm:7767,28.4,1,208.0,28.4,179.6,some difference between the coags but all seemed to have very similar performance with particle size & settling,
35,Jan 2022(D),2022-01-25,standard,Jan 2022(D)_6,4,7767,1.0,8190,20.0,20 ppm:8190   1 ppm:7767,208.0,6,208.0,28.4,179.6,some difference between the coags but all seemed to have very similar performance with particle size & settling,
36,Jan 2022(D),2022-01-25,standard,Jan 2022(D)_6,5,7767,1.0,8105,20.0,20 ppm:8105   1 ppm:7767,113.0,4,208.0,28.4,179.6,some difference between the coags but all seemed to have very similar performance with particle size & settling,
37,Jan 2022(D),2022-01-25,standard,Jan 2022(D)_6,6,7767,1.0,1580,20.0,20 ppm:1580   1 ppm:7767,110.0,3,208.0,28.4,179.6,some difference between the coags but all seemed to have very similar performance with particle size & settling,
38,Jan 2022(D),2022-01-26,use phase F sludge,Jan 2022(D)_7,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,999.0,6,999.0,42.6,956.4,7767 still had the best particle size then followed by 8182.  J4 visible FW during stir & settled fastest.  J4 still looked the best in all aspects,
39,Jan 2022(D),2022-01-26,use phase F sludge,Jan 2022(D)_7,2,2531,1.0,1252,20.0,20 ppm:1252   1 ppm:2531,119.0,4,999.0,42.6,956.4,7767 still had the best particle size then followed by 8182.  J4 visible FW during stir & settled fastest.  J4 still looked the best in all aspects,
40,Jan 2022(D),2022-01-26,use phase F sludge,Jan 2022(D)_7,3,2531,1.0,2537A,20.0,20 ppm:2537A   1 ppm:2531,42.6,1,999.0,42.6,956.4,7767 still had the best particle size then followed by 8182.  J4 visible FW during stir & settled fastest.  J4 still looked the best in all aspects,
41,Jan 2022(D),2022-01-26,use phase F sludge,Jan 2022(D)_7,4,7767,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7767,52.3,2,999.0,42.6,956.4,7767 still had the best particle size then followed by 8182.  J4 visible FW during stir & settled fastest.  J4 still looked the best in all aspects,
42,Jan 2022(D),2022-01-26,use phase F sludge,Jan 2022(D)_7,5,61610,1.0,2537A,20.0,20 ppm:2537A   1 ppm:61610,59.0,3,999.0,42.6,956.4,7767 still had the best particle size then followed by 8182.  J4 visible FW during stir & settled fastest.  J4 still looked the best in all aspects,
43,Jan 2022(D),2022-01-26,use phase F sludge,Jan 2022(D)_7,6,8182,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8182,292.0,5,999.0,42.6,956.4,7767 still had the best particle size then followed by 8182.  J4 visible FW during stir & settled fastest.  J4 still looked the best in all aspects,
44,Jan 2022(D),2022-01-27,use phase G sludge,Jan 2022(D)_8,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,400.0,6,400.0,5.81,394.19,"similar sludge as F. Settling rate J4>J2>J3>J5>J6…very good water quality,  sampled after 1 min settling.  J4 showed best size and settling rate, lots of FW.",
45,Jan 2022(D),2022-01-27,use phase G sludge,Jan 2022(D)_8,2,2531,1.0,1252,20.0,20 ppm:1252   1 ppm:2531,20.1,3,400.0,5.81,394.19,"similar sludge as F. Settling rate J4>J2>J3>J5>J6…very good water quality,  sampled after 1 min settling.  J4 showed best size and settling rate, lots of FW.",
46,Jan 2022(D),2022-01-27,use phase G sludge,Jan 2022(D)_8,3,2531,1.0,2537A,20.0,20 ppm:2537A   1 ppm:2531,12.4,2,400.0,5.81,394.19,"similar sludge as F. Settling rate J4>J2>J3>J5>J6…very good water quality,  sampled after 1 min settling.  J4 showed best size and settling rate, lots of FW.",
47,Jan 2022(D),2022-01-27,use phase G sludge,Jan 2022(D)_8,4,7767,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7767,5.81,1,400.0,5.81,394.19,"similar sludge as F. Settling rate J4>J2>J3>J5>J6…very good water quality,  sampled after 1 min settling.  J4 showed best size and settling rate, lots of FW.",
48,Jan 2022(D),2022-01-27,use phase G sludge,Jan 2022(D)_8,5,61610,1.0,2537A,20.0,20 ppm:2537A   1 ppm:61610,35.2,4,400.0,5.81,394.19,"similar sludge as F. Settling rate J4>J2>J3>J5>J6…very good water quality,  sampled after 1 min settling.  J4 showed best size and settling rate, lots of FW.",
49,Jan 2022(D),2022-01-27,use phase G sludge,Jan 2022(D)_8,6,8182,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8182,43.1,5,400.0,5.81,394.19,"similar sludge as F. Settling rate J4>J2>J3>J5>J6…very good water quality,  sampled after 1 min settling.  J4 showed best size and settling rate, lots of FW.",
50,Jan 2022(D),2022-01-28,back to F phase sludge,Jan 2022(D)_9,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,999.0,6,999.0,7.33,991.67,there was an increase in size just with coag addition and with floc there was still a good gradient.  Even during the slow mix there was an increase in FW with the coag increase. Measured turb at 2 min,
51,Jan 2022(D),2022-01-28,back to F phase sludge,Jan 2022(D)_9,2,7767,1.0,2537A,20.0,20 ppm:2537A   1 ppm:7767,59.0,5,999.0,7.33,991.67,there was an increase in size just with coag addition and with floc there was still a good gradient.  Even during the slow mix there was an increase in FW with the coag increase. Measured turb at 2 min,
52,Jan 2022(D),2022-01-28,back to F phase sludge,Jan 2022(D)_9,3,7767,1.0,2537A,25.0,25 ppm:2537A   1 ppm:7767,48.0,4,999.0,7.33,991.67,there was an increase in size just with coag addition and with floc there was still a good gradient.  Even during the slow mix there was an increase in FW with the coag increase. Measured turb at 2 min,
53,Jan 2022(D),2022-01-28,back to F phase sludge,Jan 2022(D)_9,4,7767,1.0,2537A,30.0,30 ppm:2537A   1 ppm:7767,30.6,3,999.0,7.33,991.67,there was an increase in size just with coag addition and with floc there was still a good gradient.  Even during the slow mix there was an increase in FW with the coag increase. Measured turb at 2 min,
54,Jan 2022(D),2022-01-28,back to F phase sludge,Jan 2022(D)_9,5,7767,1.0,2537A,40.0,40 ppm:2537A   1 ppm:7767,13.6,2,999.0,7.33,991.67,there was an increase in size just with coag addition and with floc there was still a good gradient.  Even during the slow mix there was an increase in FW with the coag increase. Measured turb at 2 min,
55,Jan 2022(D),2022-01-28,back to F phase sludge,Jan 2022(D)_9,6,7767,1.0,2537A,50.0,50 ppm:2537A   1 ppm:7767,7.33,1,999.0,7.33,991.67,there was an increase in size just with coag addition and with floc there was still a good gradient.  Even during the slow mix there was an increase in FW with the coag increase. Measured turb at 2 min,
2,March 2022(D),2022-03-23,,March 2022(D)_1,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,228.0,6,228.0,106.0,122.0,"J6, J5 settled fastest. During stirring J6 lookedd to have more FW.  They all look garbage wrt clarity",
3,March 2022(D),2022-03-23,,March 2022(D)_1,2,7767,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:7767,115.0,2,228.0,106.0,122.0,"J6, J5 settled fastest. During stirring J6 lookedd to have more FW.  They all look garbage wrt clarity",
4,March 2022(D),2022-03-23,,March 2022(D)_1,3,7767,0.5,2490,20.0,20 ppm:2490   0.5 ppm:7767,106.0,1,228.0,106.0,122.0,"J6, J5 settled fastest. During stirring J6 lookedd to have more FW.  They all look garbage wrt clarity",
5,March 2022(D),2022-03-23,,March 2022(D)_1,4,7767,0.5,8190,20.0,20 ppm:8190   0.5 ppm:7767,137.0,4,228.0,106.0,122.0,"J6, J5 settled fastest. During stirring J6 lookedd to have more FW.  They all look garbage wrt clarity",
6,March 2022(D),2022-03-23,,March 2022(D)_1,5,7767,0.5,1580,20.0,20 ppm:1580   0.5 ppm:7767,146.0,5,228.0,106.0,122.0,"J6, J5 settled fastest. During stirring J6 lookedd to have more FW.  They all look garbage wrt clarity",
7,March 2022(D),2022-03-23,,March 2022(D)_1,6,7767,0.5,8105,20.0,20 ppm:8105   0.5 ppm:7767,126.0,3,228.0,106.0,122.0,"J6, J5 settled fastest. During stirring J6 lookedd to have more FW.  They all look garbage wrt clarity",
8,March 2022(D),2022-03-23,,March 2022(D)_2,1,2531,0.5,1252,20.0,20 ppm:1252   0.5 ppm:2531,375.0,6,375.0,47.2,327.8,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
9,March 2022(D),2022-03-23,,March 2022(D)_2,2,7767,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:7767,47.2,1,375.0,47.2,327.8,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
10,March 2022(D),2022-03-23,,March 2022(D)_2,3,7878,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:7878,53.4,2,375.0,47.2,327.8,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
11,March 2022(D),2022-03-23,,March 2022(D)_2,4,8181,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:8181,87.1,3,375.0,47.2,327.8,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
12,March 2022(D),2022-03-23,,March 2022(D)_2,5,61610,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:61610,261.0,5,375.0,47.2,327.8,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
13,March 2022(D),2022-03-23,,March 2022(D)_2,6,7757,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:7757,224.0,4,375.0,47.2,327.8,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
14,March 2022(D),2022-03-23,,March 2022(D)_3,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,304.0,6,304.0,108.0,196.0,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
15,March 2022(D),2022-03-23,,March 2022(D)_3,2,8181,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:8181,185.0,5,304.0,108.0,196.0,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
16,March 2022(D),2022-03-23,,March 2022(D)_3,3,8181,0.5,2537A,30.0,30 ppm:2537A   0.5 ppm:8181,162.0,4,304.0,108.0,196.0,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
17,March 2022(D),2022-03-23,,March 2022(D)_3,4,8181,0.5,2537A,40.0,40 ppm:2537A   0.5 ppm:8181,120.0,2,304.0,108.0,196.0,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
18,March 2022(D),2022-03-23,,March 2022(D)_3,5,8181,0.5,2537A,50.0,50 ppm:2537A   0.5 ppm:8181,108.0,1,304.0,108.0,196.0,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
19,March 2022(D),2022-03-23,,March 2022(D)_3,6,8181,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8181,125.0,3,304.0,108.0,196.0,J2 is the only jar with FW and it has the largest partcile size. J2>j1>J4>j6>5>j3 order of settling rates.,
20,March 2022(D),2022-03-23,,March 2022(D)_4,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,214.0,6,214.0,43.5,170.5,the increase floc did give larger particle size and there was more FW with the increase.  Also the settling rate was linear with the increase. Water clarity is all over the place…need to repeat this experiment,
21,March 2022(D),2022-03-23,,March 2022(D)_4,2,8181,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:8181,105.0,2,214.0,43.5,170.5,the increase floc did give larger particle size and there was more FW with the increase.  Also the settling rate was linear with the increase. Water clarity is all over the place…need to repeat this experiment,
22,March 2022(D),2022-03-23,,March 2022(D)_4,3,8181,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8181,159.0,4,214.0,43.5,170.5,the increase floc did give larger particle size and there was more FW with the increase.  Also the settling rate was linear with the increase. Water clarity is all over the place…need to repeat this experiment,
23,March 2022(D),2022-03-23,,March 2022(D)_4,4,8181,1.5,2537A,20.0,20 ppm:2537A   1.5 ppm:8181,168.0,5,214.0,43.5,170.5,the increase floc did give larger particle size and there was more FW with the increase.  Also the settling rate was linear with the increase. Water clarity is all over the place…need to repeat this experiment,
24,March 2022(D),2022-03-23,,March 2022(D)_4,5,8181,2.0,2537A,20.0,20 ppm:2537A   2 ppm:8181,43.5,1,214.0,43.5,170.5,the increase floc did give larger particle size and there was more FW with the increase.  Also the settling rate was linear with the increase. Water clarity is all over the place…need to repeat this experiment,
25,March 2022(D),2022-03-23,,March 2022(D)_4,6,8181,2.5,2537A,20.0,20 ppm:2537A   2.5 ppm:8181,143.0,3,214.0,43.5,170.5,the increase floc did give larger particle size and there was more FW with the increase.  Also the settling rate was linear with the increase. Water clarity is all over the place…need to repeat this experiment,
26,March 2022(D),2022-03-23,,March 2022(D)_5,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,227.0,6,227.0,91.8,135.2,repeat exp 4.  same observations.  21s<25<28<32<48 is the settling times to get a defined slduge edge in jars ordered 6-1.  J 6 settled fastest.,
27,March 2022(D),2022-03-23,,March 2022(D)_5,2,8181,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:8181,171.0,3,227.0,91.8,135.2,repeat exp 4.  same observations.  21s<25<28<32<48 is the settling times to get a defined slduge edge in jars ordered 6-1.  J 6 settled fastest.,
28,March 2022(D),2022-03-23,,March 2022(D)_5,3,8181,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8181,92.2,2,227.0,91.8,135.2,repeat exp 4.  same observations.  21s<25<28<32<48 is the settling times to get a defined slduge edge in jars ordered 6-1.  J 6 settled fastest.,
29,March 2022(D),2022-03-23,,March 2022(D)_5,4,8181,1.5,2537A,20.0,20 ppm:2537A   1.5 ppm:8181,179.0,5,227.0,91.8,135.2,repeat exp 4.  same observations.  21s<25<28<32<48 is the settling times to get a defined slduge edge in jars ordered 6-1.  J 6 settled fastest.,
30,March 2022(D),2022-03-23,,March 2022(D)_5,5,8181,2.0,2537A,20.0,20 ppm:2537A   2 ppm:8181,172.0,4,227.0,91.8,135.2,repeat exp 4.  same observations.  21s<25<28<32<48 is the settling times to get a defined slduge edge in jars ordered 6-1.  J 6 settled fastest.,
31,March 2022(D),2022-03-23,,March 2022(D)_5,6,8181,2.5,2537A,20.0,20 ppm:2537A   2.5 ppm:8181,91.8,1,227.0,91.8,135.2,repeat exp 4.  same observations.  21s<25<28<32<48 is the settling times to get a defined slduge edge in jars ordered 6-1.  J 6 settled fastest.,
32,March 2022(D),2022-03-23,,March 2022(D)_6,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,213.0,6,213.0,24.3,188.7,significaant improvement in the amount of FW at 5 ppm  8181. 17s< 21s was the settling times for J6 & J5.  interestingly yhe settling times for J2< J3<J4 is in this order…less coag it settles faster???,
33,March 2022(D),2022-03-23,,March 2022(D)_6,2,8181,0.5,2537A,5.0,5 ppm:2537A   0.5 ppm:8181,181.0,5,213.0,24.3,188.7,significaant improvement in the amount of FW at 5 ppm  8181. 17s< 21s was the settling times for J6 & J5.  interestingly yhe settling times for J2< J3<J4 is in this order…less coag it settles faster???,
34,March 2022(D),2022-03-23,,March 2022(D)_6,3,8181,0.5,2537A,10.0,10 ppm:2537A   0.5 ppm:8181,151.0,2,213.0,24.3,188.7,significaant improvement in the amount of FW at 5 ppm  8181. 17s< 21s was the settling times for J6 & J5.  interestingly yhe settling times for J2< J3<J4 is in this order…less coag it settles faster???,
35,March 2022(D),2022-03-23,,March 2022(D)_6,4,8181,0.5,2537A,15.0,15 ppm:2537A   0.5 ppm:8181,166.0,4,213.0,24.3,188.7,significaant improvement in the amount of FW at 5 ppm  8181. 17s< 21s was the settling times for J6 & J5.  interestingly yhe settling times for J2< J3<J4 is in this order…less coag it settles faster???,
36,March 2022(D),2022-03-23,,March 2022(D)_6,5,8181,2.5,2537A,10.0,10 ppm:2537A   2.5 ppm:8181,159.0,3,213.0,24.3,188.7,significaant improvement in the amount of FW at 5 ppm  8181. 17s< 21s was the settling times for J6 & J5.  interestingly yhe settling times for J2< J3<J4 is in this order…less coag it settles faster???,
37,March 2022(D),2022-03-23,,March 2022(D)_6,6,8181,5.0,2537A,10.0,10 ppm:2537A   5 ppm:8181,24.3,1,213.0,24.3,188.7,significaant improvement in the amount of FW at 5 ppm  8181. 17s< 21s was the settling times for J6 & J5.  interestingly yhe settling times for J2< J3<J4 is in this order…less coag it settles faster???,
38,March 2022(D),2022-03-23,,March 2022(D)_7,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,210.0,6,210.0,36.5,173.5,particle size increase with more floc & increase FW.  J 6 w/o coag probably as the same amount of FW as J5 with coag.  Seems like the coag is preventing improvement.  J5 did settle faste than J6 but J6 was same rate as J4.  The increase in floc did give faster settling.    also visual improvement in water clarity,
39,March 2022(D),2022-03-23,,March 2022(D)_7,2,8181,2.0,2537A,10.0,10 ppm:2537A   2 ppm:8181,194.0,5,210.0,36.5,173.5,particle size increase with more floc & increase FW.  J 6 w/o coag probably as the same amount of FW as J5 with coag.  Seems like the coag is preventing improvement.  J5 did settle faste than J6 but J6 was same rate as J4.  The increase in floc did give faster settling.    also visual improvement in water clarity,
40,March 2022(D),2022-03-23,,March 2022(D)_7,3,8181,4.0,2537A,10.0,10 ppm:2537A   4 ppm:8181,159.0,4,210.0,36.5,173.5,particle size increase with more floc & increase FW.  J 6 w/o coag probably as the same amount of FW as J5 with coag.  Seems like the coag is preventing improvement.  J5 did settle faste than J6 but J6 was same rate as J4.  The increase in floc did give faster settling.    also visual improvement in water clarity,
41,March 2022(D),2022-03-23,,March 2022(D)_7,4,8181,6.0,2537A,10.0,10 ppm:2537A   6 ppm:8181,44.4,2,210.0,36.5,173.5,particle size increase with more floc & increase FW.  J 6 w/o coag probably as the same amount of FW as J5 with coag.  Seems like the coag is preventing improvement.  J5 did settle faste than J6 but J6 was same rate as J4.  The increase in floc did give faster settling.    also visual improvement in water clarity,
42,March 2022(D),2022-03-23,,March 2022(D)_7,5,8181,8.0,2537A,10.0,10 ppm:2537A   8 ppm:8181,36.5,1,210.0,36.5,173.5,particle size increase with more floc & increase FW.  J 6 w/o coag probably as the same amount of FW as J5 with coag.  Seems like the coag is preventing improvement.  J5 did settle faste than J6 but J6 was same rate as J4.  The increase in floc did give faster settling.    also visual improvement in water clarity,
43,March 2022(D),2022-03-23,,March 2022(D)_7,6,8181,4.0,2537A,0.0,0 ppm:2537A   4 ppm:8181,94.6,3,210.0,36.5,173.5,particle size increase with more floc & increase FW.  J 6 w/o coag probably as the same amount of FW as J5 with coag.  Seems like the coag is preventing improvement.  J5 did settle faste than J6 but J6 was same rate as J4.  The increase in floc did give faster settling.    also visual improvement in water clarity,
